3歳上500万下,2018年07月01日 ,ダ右1700m, 晴,福島
南相馬特別,2018年07月01日 ,芝右2000m, 晴,福島
さくらんぼ特別,2018年07月01日 ,芝右1200m, 晴,福島
ラジオNIKKEI賞,2018年07月01日 ,芝右1800m, 晴,福島
3歳上500万下,2018年07月01日 ,ダ右1150m, 晴,福島
障害3歳上未勝利,2018年07月07日 ,障芝2750m, 雨,福島
3歳未勝利,2018年07月07日 ,ダ右1700m, 雨,福島
3歳未勝利,2018年07月07日 ,ダ右1700m, 雨,福島
障害3歳上オープン,2018年07月07日 ,障芝2750m, 小雨,福島
2歳新馬,2018年07月07日 ,芝右1200m, 曇,福島
3歳未勝利,2018年07月07日 ,芝右1800m, 曇,福島
3歳未勝利,2018年07月07日 ,芝右1200m, 曇,福島
3歳上500万下,2018年07月07日 ,ダ右1150m, 曇,福島
開成山特別,2018年07月07日 ,芝右2600m, 曇,福島
松島特別,2018年07月07日 ,芝右2000m, 曇,福島
阿武隈ステークス,2018年07月07日 ,芝右1800m, 曇,福島
3歳上500万下,2018年07月07日 ,ダ右1700m, 曇,福島
2歳未勝利,2018年07月08日 ,ダ右1150m, 曇,福島
2歳未勝利,2018年07月08日 ,芝右1200m, 曇,福島
3歳未勝利,2018年07月08日 ,ダ右1150m, 曇,福島
3歳未勝利,2018年07月08日 ,芝右2000m, 曇,福島
2歳新馬,2018年07月08日 ,芝右1800m, 曇,福島
2歳新馬,2018年07月08日 ,芝右1200m, 曇,福島
3歳未勝利,2018年07月08日 ,ダ右1700m, 曇,福島
3歳上500万下,2018年07月08日 ,芝右1800m, 曇,福島
彦星賞,2018年07月08日 ,芝右1200m, 曇,福島
天の川賞,2018年07月08日 ,ダ右1700m, 曇,福島
七夕賞,2018年07月08日 ,芝右2000m, 曇,福島
織姫賞,2018年07月08日 ,ダ右1700m, 曇,福島
2歳未勝利,2018年07月14日 ,芝右1800m, 晴,福島
3歳未勝利,2018年07月14日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年07月14日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年07月14日 ,芝右2000m, 晴,福島
2歳新馬,2018年07月14日 ,芝右1200m, 晴,福島
2歳新馬,2018年07月14日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年07月14日 ,芝右1200m, 晴,福島
3歳上500万下,2018年07月14日 ,ダ右1700m, 晴,福島
雄国沼特別,2018年07月14日 ,芝右1800m, 晴,福島
信夫山特別,2018年07月14日 ,芝右2600m, 晴,福島
安達太良ステークス,2018年07月14日 ,ダ右1700m, 晴,福島
3歳上500万下,2018年07月14日 ,芝右1200m, 晴,福島
2歳未勝利,2018年07月15日 ,芝右1200m, 晴,福島
3歳未勝利,2018年07月15日 ,芝右1800m, 晴,福島
3歳未勝利,2018年07月15日 ,ダ右1700m, 晴,福島
障害3歳上未勝利,2018年07月15日 ,障芝2770m, 晴,福島
2歳新馬,2018年07月15日 ,芝右1800m, 晴,福島
3歳未勝利,2018年07月15日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年07月15日 ,芝右2600m, 晴,福島
